dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
analcatdata_asbestos,83,3,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,15.979573416057974,0.6666666666666666
lupus,87,3,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.0447928249835968,0.7272727272727273
lupus,87,3,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.0895856499671936,0.7272727272727273
lupus,87,3,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.13437847495079042,0.7272727272727273
lupus,87,3,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.223964124917984,0.7272727272727273
lupus,87,3,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.447928249835968,0.7272727272727273
lupus,87,3,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.061248897279147056,0.7272727272727273
lupus,87,3,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.12249779455829411,0.6818181818181818
lupus,87,3,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.1837466918374412,0.7272727272727273
lupus,87,3,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.3062444863957353,0.7272727272727273
lupus,87,3,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,0.6124889727914706,0.7272727272727273
lupus,87,3,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.07770496957469732,0.6818181818181818
lupus,87,3,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.15540993914939463,0.7272727272727273
lupus,87,3,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.23311490872409196,0.7272727272727273
lupus,87,3,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.38852484787348657,0.7272727272727273
lupus,87,3,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,0.7770496957469731,0.7272727272727273
lupus,87,3,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,0.6261174439406022,0.7272727272727273
lupus,87,3,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,1.2522348878812044,0.6818181818181818
lupus,87,3,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,1.878352331821807,0.7272727272727273
lupus,87,3,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,3.130587219703011,0.7272727272727273
lupus,87,3,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,6.261174439406022,0.7272727272727273
lupus,87,3,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.12707318646134808,0.7272727272727273
lupus,87,3,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.25414637292269615,0.7272727272727273
lupus,87,3,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.3812195593840443,0.7272727272727273
lupus,87,3,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,0.6353659323067404,0.7272727272727273
lupus,87,3,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,1.2707318646134809,0.7272727272727273
lupus,87,3,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.20935354793909938,0.7272727272727273
lupus,87,3,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.41870709587819877,0.7272727272727273
lupus,87,3,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,0.6280606438172981,0.7272727272727273
lupus,87,3,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,1.0467677396954969,0.6818181818181818
lupus,87,3,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,2.0935354793909937,0.7272727272727273
lupus,87,3,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,0.37391427089460194,0.7272727272727273
lupus,87,3,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,0.7478285417892039,0.6818181818181818
lupus,87,3,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,1.1217428126838058,0.6363636363636364
lupus,87,3,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,1.8695713544730097,0.6363636363636364
lupus,87,3,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,3.7391427089460194,0.6818181818181818
lupus,87,3,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,0.9387828175560571,0.6818181818181818
lupus,87,3,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,1.8775656351121142,0.6818181818181818
lupus,87,3,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,2.8163484526681715,0.6818181818181818
lupus,87,3,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,4.693914087780286,0.6818181818181818
lupus,87,3,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,9.387828175560571,0.6818181818181818
lupus,87,3,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,11.671285204123706,0.6818181818181818
lupus,87,3,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,23.34257040824741,0.7272727272727273
lupus,87,3,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,35.01385561237112,0.6818181818181818
lupus,87,3,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,58.35642602061853,0.6363636363636364
lupus,87,3,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,116.71285204123706,0.6363636363636364
analcatdata_boxing2,132,3,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.027206279197707774,0.696969696969697
analcatdata_boxing2,132,3,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.05441255839541555,0.696969696969697
analcatdata_boxing2,132,3,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.08161883759312331,0.696969696969697
analcatdata_boxing2,132,3,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.13603139598853886,0.7272727272727273
analcatdata_boxing2,132,3,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.2720627919770777,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.031242072316817943,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.062484144633635885,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.09372621695045383,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.15621036158408969,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,0.31242072316817937,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.035277865435928105,0.696969696969697
analcatdata_boxing2,132,3,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.07055573087185621,0.696969696969697
analcatdata_boxing2,132,3,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.10583359630778433,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.17638932717964054,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,0.3527786543592811,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,0.09536553690442816,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,0.19073107380885632,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,0.28609661071328446,0.696969696969697
analcatdata_boxing2,132,3,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,0.47682768452214075,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,0.9536553690442815,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.047385244793258605,0.696969696969697
