dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
analcatdata_asbestos,83,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.20088335359469056,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.2739873374113813,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,0.5337333685951308,0.6666666666666666
lupus,87,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.00548631043639034,0.7272727272727273
lupus,87,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.01097262087278068,0.7272727272727273
lupus,87,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.0274315521819517,0.6818181818181818
lupus,87,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.0548631043639034,0.6818181818181818
lupus,87,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.1097262087278068,0.6818181818181818
lupus,87,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.06353181039448827,0.6818181818181818
lupus,87,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.12706362078897654,0.6363636363636364
lupus,87,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.3176590519724414,0.6818181818181818
lupus,87,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.6353181039448828,0.6818181818181818
lupus,87,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,1.2706362078897655,0.6818181818181818
lupus,87,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.2961122415959835,0.6363636363636364
lupus,87,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.8883367247879506,0.6363636363636364
lupus,87,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,1.4805612079799175,0.6363636363636364
lupus,87,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.16777170868590474,0.6818181818181818
lupus,87,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.22581720864400268,0.6818181818181818
lupus,87,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.3999537085182965,0.6818181818181818
lupus,87,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.6901812083087862,0.6818181818181818
lupus,87,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,1.584801106271334,0.6818181818181818
lupus,87,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,2.687665605475195,0.6818181818181818
analcatdata_boxing1,120,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.003666654136031866,0.8666666666666667
analcatdata_boxing1,120,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.007333308272063732,0.8
analcatdata_boxing1,120,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.01833327068015933,0.8
analcatdata_boxing1,120,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.03666654136031866,0.8333333333333334
analcatdata_boxing1,120,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.07333308272063732,0.8333333333333334
analcatdata_boxing1,120,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.012651397893205286,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.02530279578641057,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.06325698946602643,0.9333333333333333
analcatdata_boxing1,120,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.12651397893205285,0.9333333333333333
analcatdata_boxing1,120,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.2530279578641057,0.9333333333333333
analcatdata_boxing1,120,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.020605374965816735,0.6666666666666666
analcatdata_boxing1,120,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.06181612489745021,0.8333333333333334
